,1,1074563512248
1503,2675,1074567584832
1503,2676,1074567586335
1502,2677,1074567587837
1503,2678,1074567589340
1503,2679,1074567590843
1503,2680,1074567592346
1503,2681,1074567593849
1503,2682,1074567595352
1502,2683,1074567596854
1503,2684,1074567598357
1521,2685,1074567599878
1485,2686,1074567601363
1502,2687,1074567602865
1503,2688,1074567604368
1503,2689,1074567605871
1503,2690,1074567607374
1503,2691,1074567608877
1502,2692,1074567610379
1503,2693,1074567611882
1503,2694,1074567613385
1503,2695,1074567614888
1503,2696,1074567616391
1502,2697,1074567617893
1503,2698,1074567619396
1503,2699,1074567620899
1503,2700,1074567622402
1503,2701,1074567623905
1503,2702,1074567625408
1502,2703,1074567626910
1503,2704,1074567628413
1503,2705,1074567629916
1503,2706,1074567631419
1502,2707,1074567632921
1503,2708,1074567634424
1503,2709,1074567635927
1503,2710,1074567637430
1503,2711,1074567638933
1502,2712,1074567640435
1503,2713,1074567641938
1503,2714,1074567643441
1503,2715,1074567644944
1503,2716,1074567646447
1502,2717,1074567647949
1503,2718,1074567649452
1503,2719,1074567650955
1503,2720,1074567652458
1503,2721,1074567653961
1502,2722,1074567655463
1503,2723,1074567656966
1503,2724,1074567658469
